device,manufacturer,v_ds_max,v_ds_work,i_d_max,v_gs_max,v_gs_work,r_ds_on,r_g,v_th,g_fs,c_iss,c_oss,c_rss
GAN3R2-100CBE,Nexperia,100,50,60,6,5,0.0024,2.2,1.1,29.6,1000e-12,460e-12,8.2e-12
GAN7R0-150LBE,Nexperia,150,85,28,6,5,0.0056,2.3,1.1,66.9,865e-12,280e-12,2.5e-12
GANE3R9-150QBA,Nexperia,150,75,100,6,5,0.0032,1.9,1.1,133.2,2200e-12,900e-12,10.5e-12
GAN080-650EBE,Nexperia,650,400,29,7,6,0.06,3.0,1.7,14.8,225e-12,70e-12,0.5e-12
GAN140-650EBE,Nexperia,650,400,17,7,6,0.106,3.5,1.7,8.8,125e-12,41e-12,0.4e-12
GAN190-650EBE,Nexperia,650,400,11.5,7,6,0.138,5.0,1.7,5.8,96e-12,30e-12,0.5e-12
EPC2040,EPC,15,6,3.4,6,5,0.024,0.5,1.4,17.8,86e-12,67e-12,20e-12
EPC2216,EPC,15,7.5,3.4,6,5,0.02,0.5,1,15.9,98e-12,66e-12,20e-12
EPC2023,EPC,30,15,90,6,5,0.00115,0.3,1.4,273.9,2150e-12,1530e-12,100e-12
EPC8004,EPC,40,20,4,6,5,0.080,0.34,1.4,5.8,45e-12,23e-12,0.8e-12
EPC2055,EPC,40,20,29,6,5,0.003,0.4,1.1,49.5,841e-12,408e-12,8.8e-12
EPC2014C,EPC,40,20,10,6,5,0.012,0.4,1.4,37.9,220e-12,150e-12,6.5e-12
EPC2015C,EPC,40,20,53,6,5,0.0032,0.3,1.4,116.2,980e-12,710e-12,18e-12
EPC2215,EPC,200,100,32,6,5,0.006,0.4,1.1,69.0,1356e-12,390e-12,2e-12
EPC2050,EPC,350,280,6.3,6,5,0.055,0.5,1.3,9.0,423e-12,81e-12,0.3e-12
GS61004B,GaNSystems,100,50,38,7,6,0.016,0.9,1.7,33.2,260e-12,110e-12,5e-12
GS61004B,GaNSystems,100,50,38,7,6,0.016,0.9,1.7,29.2,260e-12,110e-12,5e-12
GS61008P,GaNSystems,100,50,90,7,6,0.007,0.8,1.7,62.9,600e-12,250e-12,12e-12
GS61008P,GaNSystems,100,50,90,7,6,0.007,0.8,1.7,60.0,600e-12,250e-12,12e-12
GS61008T,GaNSystems,100,50,90,7,6,0.007,0.6,1.7,60.0,600e-12,250e-12,12e-12
GS61008T,GaNSystems,100,50,90,7,6,0.007,0.6,1.7,65.7,600e-12,250e-12,12e-12
GS66502B,GaNSystems,650,400,7.5,7,6,0.2,2.3,1.7,10.0,60e-12,17e-12,0.5e-12
GS66502B,GaNSystems,650,400,7.5,7,6,0.2,2.3,1.7,9.4,60e-12,17e-12,0.5e-12
GS66504B,GaNSystems,650,400,15,7,6,0.1,1.4,1.7,19.4,120e-12,31e-12,1.1e-12
GS66504B,GaNSystems,650,400,15,7,6,0.1,1.4,1.7,16.7,120e-12,31e-12,1.1e-12
GS66506T,GaNSystems,650,400,22.5,7,6,0.067,1.1,1.7,28.1,185e-12,49e-12,0.7e-12
GS66506T,GaNSystems,650,400,22.5,7,6,0.067,1.1,1.7,30.5,185e-12,49e-12,0.7e-12
GS66508B,GaNSystems,650,400,30,7,6,0.05,1.1,1.7,39.4,242e-12,65e-12,1.5e-12
GS66508B,GaNSystems,650,400,30,7,6,0.05,1.1,1.7,42.9,242e-12,65e-12,1.5e-12
GS66508T,GaNSystems,650,400,30,7,6,0.05,1.1,1.7,39.4,242e-12,65e-12,1.5e-12
GS66508T,GaNSystems,650,400,30,7,6,0.05,1.1,1.7,42.9,242e-12,65e-12,1.5e-12
GS66516B,GaNSystems,650,400,60,7,6,0.025,0.3,1.7,76.3,518e-12,126e-12,5.9e-12
GS66516B,GaNSystems,650,400,60,7,6,0.025,0.3,1.7,75.0,518e-12,126e-12,5.9e-12
GS66516T,GaNSystems,650,400,60,7,6,0.025,0.3,1.7,75.0,518e-12,126e-12,5.9e-12
GS-065-004-1-L,GaNSystems,650,400,4,7,6,0.45,4.0,1.7,3.5,26e-12,7e-12,0.3e-12
GS-065-004-1-L,GaNSystems,650,400,4,7,6,0.45,4.0,1.7,3.3,26e-12,7e-12,0.3e-12
GS-065-008-1-L,GaNSystems,650,400,8,7,6,0.225,2.0,1.7,7.2,54e-12,14e-12,0.3e-12
GS-065-008-1-L,GaNSystems,650,400,8,7,6,0.225,2.0,1.7,6.7,54e-12,14e-12,0.3e-12
GS-065-011-1-L,GaNSystems,650,400,11,7,6,0.15,1.4,1.7,10.1,70e-12,20e-12,0.4e-12
GS-065-011-1-L,GaNSystems,650,400,11,7,6,0.15,1.4,1.7,10.0,70e-12,20e-12,0.4e-12
GS-065-011-2-L,GaNSystems,650,400,11,7,6,0.15,1.4,1.7,10.2,70e-12,20e-12,0.4e-12
GS-065-011-2-L,GaNSystems,650,400,11,7,6,0.15,1.4,1.7,10.0,70e-12,20e-12,0.4e-12
GS-065-018-2-L,GaNSystems,650,400,18,7,6,0.078,1.3,1.7,20.66,132e-12,34e-12,0.4e-12
GS-065-018-2-L,GaNSystems,650,400,18,7,6,0.078,1.3,1.7,22.5,132e-12,34e-12,0.4e-12
GS-065-030-2-L,GaNSystems,650,400,30,7,6,0.05,1.3,1.7,32.61,235e-12,60e-12,0.6e-12
GS-065-030-2-L,GaNSystems,650,400,30,7,6,0.05,1.3,1.7,30.0,235e-12,60e-12,0.6e-12
GS-065-060-5-B-A,GaNSystems,650,400,60,7,6,0.025,1.0,1.7,84.1,516e-12,127e-12,2.4e-12
GS-065-060-5-T-A,GaNSystems,650,400,60,7,6,0.025,1.0,1.7,85.7,516e-12,127e-12,2.4e-12
